image,quality_score,quality_score,caption,modifier,similarity_score,similarity_sentence,ImageReward_score,,align_score,prompt
531.png,49.125,49.125,a woman standing on top of a dock next to a boat,0.137049231,0.2424,a woman standing on top of a dock next to a boat ,-1.44478476,,52.767,a large white yacht in a calm bay on a sunny day
532.png,55.804,55.804,a toy model of a toy train on a table,0.07248,0.4832,a toy model ,1.701007962,,63.561,purple lego dollhouse with a pool and a swing
533.png,52.453,52.453,a small child's toy house with a blue floor,0.19069875,0.4623,a small child's toy house with a ,-0.690559745,,46.86,purple lego dollhouse with a pool and a swing
534.png,55.892,55.892,a toy model of a toy boat in a toy house,0.292680208,0.4895,a toy model of a toy boat in a toy house ,1.834098339,,53.089,purple lego dollhouse with a pool and a swing
535.png,54.542,54.542,a toy house with a doll on top of it,0.460110417,0.5969,a toy house with a doll on top of it ,1.423040032,,50.917,purple lego dollhouse with a pool and a swing
536.png,54.274,54.274,a tree filled with lots of green leaves next to a grassy field,0.036951923,0.4575,a tree ,0.524727225,,44.847,a small garden with an apple tree behind it
537.png,61.567,61.567,a tree in the middle of a grassy field,0.15789,0.5263,a tree in the middle of a ,0.191127449,,60.895,a small garden with an apple tree behind it
538.png,55.806,55.806,a tree that has a bunch of fruit in it,0.242044615,0.5827,a tree that has a bunch of fruit in ,0.856465161,,47.124,a small garden with an apple tree behind it
539.png,56.308,56.308,a tree in the middle of a grassy field,0.15789,0.5263,a tree in the middle of a ,0.418489814,,51.029,a small garden with an apple tree behind it
540.png,59.735,59.735,a glass of orange juice sitting next to a cup of coffee,0.220129412,0.4455,a glass of orange juice sitting next to a ,1.009769201,,56.785,a bloody mary cocktail next to a napkin
541.png,65.102,65.102,a glass of orange juice sitting on a table,0.216416471,0.4278,a glass of orange juice sitting on a table ,1.32764101,,60.899,a bloody mary cocktail next to a napkin
542.png,56.149,56.149,a glass of red wine sitting on top of a table,0.232543529,0.4297,a glass of red wine sitting on top of a table ,0.072103016,,53.607,a bloody mary cocktail next to a napkin
543.png,54.592,54.592,a glass of red liquid sitting on top of a table,0.261797647,0.4636,a glass of red liquid sitting on top of a table ,0.036580022,,55.045,a bloody mary cocktail next to a napkin
544.png,57.058,57.058,a red truck with a dog on top of it,0.173624444,0.6794,a red truck with a dog ,0.737911701,,47.926,a kids' book cover with an illustration of white dog driving a red pickup truck
545.png,55.196,55.196,a red truck with a picture of a dog on it,0.380213333,0.7129,a red truck with a picture of a dog ,0.700543106,,60.51,a kids' book cover with an illustration of white dog driving a red pickup truck
546.png,59.255,59.255,a red truck with a picture of a dog on it,0.332686667,0.7129,a red truck with a picture of a dog ,1.439282298,,58.522,a kids' book cover with an illustration of white dog driving a red pickup truck
547.png,57.019,57.019,a red truck with a picture of a dog on the side of it,0.28344,0.7086,a red truck with a picture of a dog ,1.072633624,,52.121,a kids' book cover with an illustration of white dog driving a red pickup truck
548.png,55.452,55.452,a kitchen with a stove top oven and a sink,0.098579032,0.6791,a kitchen with ,0.39409098,,56.517,A bare kitchen has wood cabinets and white appliances
549.png,70.661,70.661,a white stove top oven sitting in a kitchen,0.222654194,0.5229,a white stove top oven sitting in a kitchen ,0.488785595,,61,A bare kitchen has wood cabinets and white appliances
550.png,62.144,62.144,a kitchen with a stove top oven and a microwave,0.098579032,0.6791,a kitchen with ,-1.237367988,,67.695,A bare kitchen has wood cabinets and white appliances
551.png,68.335,68.335,a kitchen with a stove top oven and a microwave,0.098579032,0.6791,a kitchen with ,0.631614208,,66.179,A bare kitchen has wood cabinets and white appliances
552.png,53.858,53.858,a lake with trees and a house,0.344830189,0.6092,a lake with trees and a house ,1.321156383,,57.861,a fall landscape with a small cottage next to a lake
553.png,56.563,56.563,a red and white fire hydrant next to a body of water,0.09354,0.1559,a red and white fire hydrant next to a body of water ,0.889778376,,62.747,a fall landscape with a small cottage next to a lake
554.png,62.982,62.982,a lake with a couple of trees and a couple of houses,0.36366,0.6061,a lake with a couple of trees and a couple of houses ,0.885498166,,64.119,a fall landscape with a small cottage next to a lake
555.png,62.543,62.543,a house with trees and a boat on the water,0.205621132,0.4224,a house with trees and a boat on the water ,1.499096632,,67.587,a fall landscape with a small cottage next to a lake
556.png,57.739,57.739,a teddy bear sitting on top of a skateboard,0.38694,0.6449,a teddy bear sitting on top of a skateboard ,1.887135386,,59.722,a teddy bear on a skateboard in times square
557.png,58.113,58.113,a teddy bear sitting on top of a skateboard,0.38694,0.6449,a teddy bear sitting on top of a skateboard ,1.936969042,,63.412,a teddy bear on a skateboard in times square
558.png,60.571,60.571,a teddy bear is sitting on a skateboard,0.592363636,0.6516,a teddy bear is sitting on a skateboard ,1.651856542,,60.668,a teddy bear on a skateboard in times square
559.png,53.89,53.89,a teddy bear sitting on the side of a street,0.104218636,0.5879,a teddy bear ,1.903616667,,55.134,a teddy bear on a skateboard in times square
560.png,66.752,66.752,a black dog with a blue collar sitting in the grass,0.278928,0.7748,a black dog with a blue ,-1.988903403,,50.361,A blue colored dog
561.png,59.616,59.616,a black and white dog standing in a grassy field,0.183909,0.5573,a black and white dog ,-1.881207585,,48.213,A blue colored dog
562.png,54.017,54.017,a box with a picture of a penguin on it,0.18042,0.3007,a box with a picture of a penguin on it ,-2.274476767,,41.63,A blue colored dog
563.png,56.694,56.694,a black and brown dog wearing a blue collar,0.45616375,0.7045,a black and brown dog wearing a blue ,-1.617341757,,41.991,A blue colored dog
564.png,68.174,68.174,a statue of a man riding a horse in a forest,0.293110169,0.549,a statue of a man riding a horse in a forest ,1.809730649,,68.891,A photo of an astronaut riding a horse in the forest.
565.png,54.975,54.975,a woman riding on the back of a brown horse,0.160861017,0.3595,a woman riding on the back of a brown horse ,1.207002521,,58.058,A photo of an astronaut riding a horse in the forest.
566.png,58.478,58.478,a young boy riding a horse through the woods,0.207808475,0.4541,a young boy riding a horse through the woods ,1.566874027,,57.179,A photo of an astronaut riding a horse in the forest.
567.png,63.383,63.383,a woman riding on the back of a brown horse,0.160861017,0.3595,a woman riding on the back of a brown horse ,1.751126051,,65.249,A photo of an astronaut riding a horse in the forest.
568.png,60.496,60.496,a man riding a bike on top of a wooden dock,0.21604,0.5401,a man riding a bike on top of a ,1.18260169,,60.752,A bicycle on top of a boat
569.png,62.759,62.759,a bicycle with a surfboard on top of it,0.422333333,0.724,a bicycle with a surfboard on top of it ,-0.520943642,,61.242,A bicycle on top of a boat
570.png,64.945,64.945,a bike parked on top of a boat,0.375823333,0.7274,a bike parked on top of a boat ,1.711445808,,63.805,A bicycle on top of a boat
571.png,54.041,54.041,a bicycle parked on a dock near the water,0.079675,0.6374,a bicycle ,0.882009447,,50.77,A bicycle on top of a boat
572.png,55.488,55.488,a figurine of a bird on top of a table,0.061317447,0.3002,a figurine of a ,1.008773208,,50.676,a sword slicing through a loaf of bread
573.png,55.006,55.006,a figurine of a bird with a sword in its mouth,0.248826383,0.4754,a figurine of a bird with a sword in its ,0.373997837,,58.399,a sword slicing through a loaf of bread
574.png,58.01,58.01,a painting of a cartoon character with a knife,0.10902,0.1817,a painting of a cartoon character with a knife ,1.780427456,,52.423,a sword slicing through a loaf of bread
575.png,54.42,54.42,a white and black fire hydrant on a pole,0.036949787,0.1608,a white and black ,-0.790549815,,64.174,a sword slicing through a loaf of bread
576.png,65.47,65.47,an orange with a hat on top of it,0.2731008,0.8128,an orange with a hat ,1.570655107,,66.075,an orange wearing a cowboy hat
577.png,63.626,63.626,a hat with a cartoon character on it,0.0924612,0.5927,a hat with a ,1.46416676,,57.462,an orange wearing a cowboy hat
578.png,65.611,65.611,a bear with a hat on,0.1405026,0.4779,a bear with a hat on ,1.896896243,,63.665,an orange wearing a cowboy hat
579.png,63.591,63.591,an orange with a face painted on it,0.1633368,0.6187,an orange with a face ,1.839165807,,64.042,an orange wearing a cowboy hat
580.png,48.116,48.116,a picture of a dog with a cartoon character on it,0.096510545,0.2602,a picture of a dog with a cartoon ,-1.802146912,,48.058,A bowl of soup that looks like a monster with tofu says deep learning
581.png,50.772,50.772,a toy fire hydrant with a cartoon character on it,0.101035636,0.2724,a toy fire hydrant with a cartoon ,-0.915897131,,45.847,A bowl of soup that looks like a monster with tofu says deep learning
582.png,59.038,59.038,a cupcake with a picture of a dog on it,0.099626182,0.2686,a cupcake with a picture of a dog ,-0.594671905,,48.525,A bowl of soup that looks like a monster with tofu says deep learning
583.png,51.808,51.808,a birthday cake with a cartoon character on it,0.097937455,0.2896,a birthday cake with a cartoon ,0.051454831,,45.572,A bowl of soup that looks like a monster with tofu says deep learning
584.png,49.844,49.844,a painting of a person holding a knife,0.0629125,0.3595,a painting of ,1.549148202,,54.416,a drawing of a series of musical notes wrapped around the Earth
585.png,51.027,51.027,a painting of a person holding a toothbrush in their mouth,0.0629125,0.3595,a painting of ,1.716996789,,53.461,a drawing of a series of musical notes wrapped around the Earth
586.png,52.354,52.354,a painting of a person holding a flower,0.0629125,0.3595,a painting of ,1.565744877,,54.651,a drawing of a series of musical notes wrapped around the Earth
587.png,51.001,51.001,a plate of food on a table,0.03089625,0.2247,a plate of ,-0.392412633,,53.133,a drawing of a series of musical notes wrapped around the Earth
588.png,50.481,50.481,a white goat standing on top of a white stove,0.507898413,0.6956,a white goat standing on top of a white stove ,1.628086209,,53.547,a small kitchen with a white goat in it
589.png,59.222,59.222,a white dog sitting on a kitchen counter next to a sink,0.187722857,0.5973,a white dog sitting on a kitchen ,-0.526905417,,53.436,a small kitchen with a white goat in it
590.png,57.046,57.046,a cat standing on top of a stove next to a microwave,0.155920952,0.3089,a cat standing on top of a stove next to a microwave ,1.447660565,,57.014,a small kitchen with a white goat in it
591.png,53.478,53.478,a cat standing on top of a stove top oven,0.11292,0.2823,a cat standing on top of a stove top oven ,1.699757338,,52.661,a small kitchen with a white goat in it
592.png,51.219,51.219,a large white dog sitting in a pool of water,0.120529688,0.2857,a large white dog sitting in a pool of water ,-0.627541661,,44.084,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.
593.png,55.95,55.95,a black and white cat sitting on top of a wooden chair,0.08080875,0.3918,a black and white cat ,-0.561767161,,51.745,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.
594.png,56.099,56.099,two cats standing next to each other on a bench,0.12520125,0.4308,two cats standing next to each ,-0.521063924,,48.504,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.
595.png,57.887,57.887,a cat standing on top of a pool of water,0.210137813,0.4686,a cat standing on top of a pool of water ,-0.525564313,,46.463,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.
596.png,62.902,62.902,an elephant standing on top of a dirt road,0.095921633,0.6528,an elephant ,0.04745454,,61.7,an elephant walking on the Great Wall
597.png,57.289,57.289,a large elephant standing on top of a brick wall,0.40878,0.6813,a large elephant standing on top of a brick wall ,0.878908515,,46.535,an elephant walking on the Great Wall
598.png,61.575,61.575,an elephant standing on top of a stone wall,0.366690612,0.6806,an elephant standing on top of a stone wall ,1.097402334,,60.064,an elephant walking on the Great Wall
599.png,58.639,58.639,an elephant standing in front of a stone wall,0.387188571,0.6874,an elephant standing in front of a stone wall ,0.986615598,,59.492,an elephant walking on the Great Wall
600.png,46.269,46.269,a black and white photo of a pool of water,0.3612,0.4536,a black and white photo of a pool of water ,0.634031117,,54.862,A photo of a panda made of water.
601.png,52.863,52.863,a black and white drawing of a penguin statue,0.11375,0.2625,a black and white drawing of a penguin ,-0.624962628,,59.053,A photo of a panda made of water.
602.png,48.009,48.009,a black and white photo of a pool of water,0.28896,0.4536,a black and white photo of a pool of water ,0.266184598,,56.05,A photo of a panda made of water.
603.png,46.291,46.291,a polar bear swimming in a pool of water,0.151426667,0.3324,a polar bear swimming in a pool of water ,-0.238688499,,47.138,A photo of a panda made of water.
604.png,63.328,63.328,a man wearing a suit and tie,0.128423077,0.4452,a man wearing a suit and ,0.348262817,,63.022,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style"
605.png,61.146,61.146,a man in a suit and tie posing for a picture,0.100476923,0.4354,a man in a suit and ,1.216406226,,63.22,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style"
606.png,53.03,53.03,a man wearing a suit and tie,0.128423077,0.4452,a man wearing a suit and ,0.538355529,,57.217,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style"
607.png,53.349,53.349,a man wearing a suit and tie,0.128423077,0.4452,a man wearing a suit and ,0.131213859,,54.424,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style"
608.png,52.86,52.86,a blurry photo of a cartoon character on a cell phone,0.08988,0.2996,a blurry photo of a cartoon ,1.633915782,,56.733,a cartoon of a train going to the moon
609.png,56.367,56.367,a painting of a cartoon character on top of a toy train,0.26742,0.4457,a painting of a cartoon character on top of a toy train ,1.719894886,,54.312,a cartoon of a train going to the moon
610.png,54.899,54.899,a large balloon shaped like a train on top of a table,0.230657143,0.552,a large balloon shaped like a train on ,1.696571231,,52.084,a cartoon of a train going to the moon
611.png,56.556,56.556,a toy train on top of a train track,0.070881429,0.5513,a toy train ,1.746979237,,54.242,a cartoon of a train going to the moon
612.png,53.443,53.443,a toy elephant sitting on top of a wooden table,0.022206316,0.3516,a toy ,-0.946931541,,46.03,A spaceship made of cardboard.
613.png,63.285,63.285,a white and black surfboard sitting on top of a table,0.135433684,0.2797,a white and black surfboard sitting on top of ,0.309304386,,56.955,A spaceship made of cardboard.
614.png,66.147,66.147,a piece of art that is on top of a table,0.027250526,0.3236,a piece ,0.4286066,,67.321,A spaceship made of cardboard.
615.png,55.71,55.71,a white and black model of a white and black model of a white and,0.038311579,0.2022,a white and black ,0.085036561,,55.23,A spaceship made of cardboard.
616.png,64.041,64.041,a pink rose in a flower pot on a table,0.167603333,0.4571,a pink rose in a flower pot on a ,1.414233685,,54.478,A photo of a lotus flower made of water. 
617.png,60.824,60.824,a flower in a vase sitting on top of a table,0.06044,0.6044,a flower ,1.169773579,,47.298,A photo of a lotus flower made of water. 
618.png,58.198,58.198,a pink rose in the middle of a flower pot,0.190633333,0.4085,a pink rose in the middle of a flower pot ,1.121635914,,51.203,A photo of a lotus flower made of water. 
619.png,63.364,63.364,a flower in a vase on a table,0.06044,0.6044,a flower ,-0.088523477,,52.602,A photo of a lotus flower made of water. 
620.png,52.472,52.472,a plate of food on a table,0.075992381,0.4987,a plate of food ,0.099908777,,55.862,a painting of the food of china
621.png,46.954,46.954,plates of food on a table,0.086133333,0.4522,plates of food on a ,-0.463671148,,49.702,a painting of the food of china
622.png,58.704,58.704,a plate of food on a wooden table,0.179164444,0.5039,a plate of food on a wooden ,0.086169921,,54.717,a painting of the food of china
623.png,54.946,54.946,a wooden table topped with bowls of food,0.139907619,0.3583,a wooden table topped with bowls of food ,0.116240561,,56.173,a painting of the food of china
624.png,52.597,52.597,a cartoon character with a stuffed animal on top of it,0.23545102,0.4273,a cartoon character with a stuffed animal on ,-0.977416515,,41.984,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"
625.png,58.357,58.357,a teddy bear sitting on top of a green background,0.049442449,0.3106,a teddy bear ,0.042647202,,62.232,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"
626.png,58.146,58.146,a figurine of a bear with a cartoon character on it,0.24432,0.4072,a figurine of a bear with a cartoon character on ,-0.521987438,,56.043,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"
627.png,57.948,57.948,a teddy bear with a cartoon character on it,0.15024,0.4382,a teddy bear with a cartoon ,-1.466076374,,50.091,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants"
628.png,52.579,52.579,a painting of a tree in front of a building,0.8251,0.8251,a painting of a tree in front of a building ,1.126953363,,52.864,an oil painting of a tree and a building
629.png,52.04,52.04,a tree in front of a building with a clock on it,0.303534545,0.6016,a tree in front of a building with a ,1.213151455,,56.777,an oil painting of a tree and a building
630.png,53.37,53.37,a tree in front of a large building,0.274123636,0.5584,a tree in front of a large building ,1.155089259,,58.54,an oil painting of a tree and a building
631.png,49.812,49.812,a tree with a picture of a giraffe on it,0.210715909,0.6181,a tree with a picture of ,1.048101425,,52.413,an oil painting of a tree and a building
632.png,49.149,49.149,a white house with a black and white picture on the front of it,0.243343636,0.4957,a white house with a black and white picture ,0.859090745,,55.826,a painting of a white country home with a wrap-around porch
633.png,47.825,47.825,a white house sitting in front of a house,0.225898909,0.4226,a white house sitting in front of a house ,0.646068215,,52.833,a painting of a white country home with a wrap-around porch
634.png,60.109,60.109,a white house sitting in front of a tree,0.184589455,0.4127,a white house sitting in front of a tree ,1.101313829,,59.858,a painting of a white country home with a wrap-around porch
635.png,59.116,59.116,a white house with a blue roof and a white house,0.216297818,0.4611,a white house with a blue roof and a white ,1.345493317,,61.836,a painting of a white country home with a wrap-around porch
636.png,51.148,51.148,a large building with a clock on top of it,0.117331111,0.2854,a large building with a clock on top ,-1.052725673,,53.103,Downtown Shanghai at sunrise. detailed ink wash.
637.png,47.623,47.623,people standing in front of a tall building,0.055831111,0.1142,people standing in front of a tall building ,0.22406888,,53.558,Downtown Shanghai at sunrise. detailed ink wash.
638.png,50.347,50.347,a large body of water with buildings,0.073588889,0.179,a large body of water with buildings ,-0.602362633,,55.581,Downtown Shanghai at sunrise. detailed ink wash.
639.png,55.213,55.213,a city skyline with a clock tower,0.13357037,0.368,a city skyline with a clock ,-0.576741457,,53.957,Downtown Shanghai at sunrise. detailed ink wash.
640.png,51.796,51.796,a drawing of a cat on a sign,0.09302875,0.3917,a drawing of a cat ,-0.199776769,,47.957,"a cartoon of a dog saying ""I see what you did there"""
641.png,48.78,48.78,a painting of a cow on a wall,0.0784875,0.273,a painting of a cow on ,-0.742117226,,38.601,"a cartoon of a dog saying ""I see what you did there"""
642.png,60.236,60.236,a sign with a picture of a bear on it,0.240476667,0.3797,a sign with a picture of a bear on it ,-0.620923638,,56.197,"a cartoon of a dog saying ""I see what you did there"""
643.png,55.191,55.191,a teddy bear sitting on top of a sign,0.0475475,0.2926,a teddy bear ,-0.679899096,,47.609,"a cartoon of a dog saying ""I see what you did there"""
644.png,55.393,55.393,a drawing of a cat with a cartoon face on it,0.102433333,0.2195,a drawing of a cat with a cartoon face on ,-0.918541253,,48.987,the word 'HELLO' on a girl's face
645.png,65.992,65.992,a woman with a smile on her face,0.275855556,0.4514,a woman with a smile on her face ,0.143634349,,54.965,the word 'HELLO' on a girl's face
646.png,52.624,52.624,a close up picture of a woman's face,0.14208,0.3456,a close up picture of a woman's face ,-0.224797979,,53.157,the word 'HELLO' on a girl's face
647.png,66.118,66.118,a woman with a smile on her face,0.220684444,0.4514,a woman with a smile on her face ,1.433791399,,56.848,the word 'HELLO' on a girl's face
648.png,55.518,55.518,a green and yellow fire hydrant with a cartoon character on it,0.20304,0.3528,a green and yellow fire hydrant with a cartoon ,1.11505568,,52.955,a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background.
649.png,54.032,54.032,a colorful kite that is in the shape of a clock,0.1188,0.462,a colorful kite that ,0.112626642,,51.499,a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background.
650.png,55.938,55.938,a painting of a person holding a colorful kite,0.186637959,0.3243,a painting of a person holding a colorful kite ,-1.212827325,,44.688,a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background.
651.png,57.001,57.001,a painting of a person holding a colorful kite,0.186637959,0.3243,a painting of a person holding a colorful kite ,1.030820966,,50.705,a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background.
652.png,62.807,62.807,a black and white street sign on a pole,0.120906383,0.3157,a black and white street sign ,-1.456826448,,52.464,A sign that says Deep Learning
653.png,57.104,57.104,a blue and white street sign sitting on top of a pole,0.120035745,0.2137,a blue and white street sign sitting on top ,1.365002632,,52.828,A sign that says Deep Learning
654.png,60.98,60.98,a sign on a pole in front of a tree,0.036861702,0.4125,a sign ,-0.69412744,,48.795,A sign that says Deep Learning
655.png,55.337,55.337,a street sign on a pole in front of a blue sky,0.052419574,0.2933,a street sign ,-0.282787889,,47.332,A sign that says Deep Learning
656.png,51.773,51.773,a red apple sitting on top of a green apple,0.129875294,0.6133,a red apple ,1.910791993,,48.364,the word 'APPLE' on an apple
657.png,49.519,49.519,a red apple sitting on top of a red apple,0.130235294,0.615,a red apple ,1.825617552,,45.113,the word 'APPLE' on an apple
658.png,56.617,56.617,a yellow apple sitting on top of a green apple,0.149929412,0.5664,a yellow apple ,1.552452445,,63.726,the word 'APPLE' on an apple
659.png,57.518,57.518,a red apple sitting on top of a green apple,0.129875294,0.6133,a red apple ,1.896534204,,50.591,the word 'APPLE' on an apple
660.png,53.714,53.714,two cupcakes sitting on top of a wooden table,0.0757185,0.3883,two cupcakes ,1.235870957,,49.697,"Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."
661.png,56.024,56.024,a cup of coffee and a toothbrush on a table,0.19467,0.6489,a cup of coffee and ,1.172505975,,45.704,"Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."
662.png,57.297,57.297,two cups of coffee on a table,0.23178575,0.6971,two cups of coffee ,0.896152973,,47.192,"Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."
663.png,61.513,61.513,two cupcakes sitting on top of a table,0.0757185,0.3883,two cupcakes ,0.819231749,,49.531,"Two cups of coffee, one with latte art of the words ""LOVE"" written in one. The other has latte art of the words ""PEACE"" written in the other."
664.png,52.575,52.575,a sign that is on the side of a building,0.051230769,0.185,a sign that is on ,0.958021879,,56.291,the word 'START'
665.png,60.006,60.006,a black and white sign on a black and white sign,0.06628,0.1657,a black and white sign on ,1.243026137,,68.082,the word 'START'
666.png,61.518,61.518,a black and white street sign sitting on the side of a road,0.051346154,0.1335,a black and white street ,1.204817653,,56.507,the word 'START'
667.png,52.112,52.112,a neon sign with a black and white background,0.015830769,0.147,a neon ,1.066694617,,52.032,the word 'START'
668.png,53.09,53.09,a yellow sign on the side of a building,0.167608636,0.5853,a yellow sign on the ,1.764297366,,52.968,"a yellow wall with 'Hello, world.' written on it"
669.png,55.318,55.318,a yellow sign on a yellow wall,0.44175,0.627,a yellow sign on a yellow wall ,1.257894039,,47.132,"a yellow wall with 'Hello, world.' written on it"
670.png,51.874,51.874,a sign on a building,0.107586818,0.3757,a sign on a building ,0.696150184,,48.281,"a yellow wall with 'Hello, world.' written on it"
671.png,43.479,43.479,a yellow and blue sign on the side of a building,0.224918182,0.5498,a yellow and blue sign on the ,-0.235928386,,44.559,"a yellow wall with 'Hello, world.' written on it"
672.png,67.425,67.425,a restaurant sign on the side of a building,0.114529412,0.295,a restaurant sign on the side of a building ,0.396275848,,53.657,a store front with 'Grassy Meadow' written on it
673.png,60.704,60.704,a building with a sign on the front of it,0.122802353,0.3866,a building with a sign on the front ,0.375877619,,51.298,a store front with 'Grassy Meadow' written on it
674.png,64.082,64.082,a sign on the side of a building,0.075676765,0.2599,a sign on the side of a building ,0.042651296,,47.971,a store front with 'Grassy Meadow' written on it
675.png,54.31,54.31,a sign on the side of a building,0.075676765,0.2599,a sign on the side of a building ,-0.419270247,,46.614,a store front with 'Grassy Meadow' written on it
676.png,64.668,64.668,a sign that is on the side of a mountain,0.158664,0.5409,a sign that is on the ,0.389066398,,51.44,"A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."
677.png,61.182,61.182,a green sign on a metal pole on a hillside,0.099476,0.5739,a green sign ,0.403053731,,48.484,"A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."
678.png,55.752,55.752,a sign that is on the side of a mountain,0.158664,0.5409,a sign that is on the ,0.483586937,,44.726,"A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."
679.png,63.585,63.585,a sign on the side of a mountain,0.149277333,0.5089,a sign on the side of ,0.470463693,,53.116,"A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon."
680.png,56.334,56.334,a dog and a cat laying on the ground,0.11998,0.5999,a dog and a cat ,1.135735512,,51.616,Four cats surrounding a dog
681.png,59.657,59.657,cats and a dog laying on the ground,0.1216125,0.6486,cats and a dog ,0.895858347,,58.063,Four cats surrounding a dog
682.png,50.435,50.435,a dog and a cat laying on the floor,0.11998,0.5999,a dog and a cat ,0.439922929,,41.771,Four cats surrounding a dog
683.png,54.961,54.961,two cats and a dog are playing together,0.2122325,0.7382,two cats and a dog are ,0.006743956,,53.89,Four cats surrounding a dog
684.png,54.487,54.487,three girls sitting on a couch smiling,0.274996957,0.6801,three girls sitting on a couch ,1.434983611,,56.183,three children on a couch
685.png,51.015,51.015,three young girls sitting on a couch,0.320983043,0.6651,three young girls sitting on a couch ,1.367357969,,55.376,three children on a couch
686.png,54.106,54.106,three young girls sitting on a couch with a dog,0.43596,0.7958,three young girls sitting on a couch with ,1.421650887,,58.171,three children on a couch
687.png,56.113,56.113,a family sitting on a couch,0.166210435,0.4551,a family sitting on a couch ,1.627384424,,57.774,three children on a couch
688.png,56.871,56.871,motorcycles parked next to each other,0.48055,0.6865,motorcycles parked next to each other ,0.591466844,,55.498,two motorcycles facing each other
689.png,57.409,57.409,a red motorcycle parked on the side of the road,0.138317368,0.5153,a red motorcycle ,0.262468487,,56.709,two motorcycles facing each other
690.png,58.527,58.527,motorcycles parked next to each other,0.4119,0.6865,motorcycles parked next to each other ,1.105375409,,56.192,two motorcycles facing each other
691.png,56.359,56.359,motorcycles parked next to each other,0.4119,0.6865,motorcycles parked next to each other ,0.177797526,,62.989,two motorcycles facing each other
692.png,57.721,57.721,a red and white christmas tree with a pair of scissors,0.047905263,0.4551,a red and ,1.75443399,,53.768,two red balls on a table
693.png,48.607,48.607,a red apple sitting on top of a table,0.026494737,0.4195,a red ,1.608553648,,48.566,two red balls on a table
694.png,61.543,61.543,a red apple sitting on top of a wooden table,0.026084211,0.413,a red ,0.748901248,,58.824,two red balls on a table
695.png,54.137,54.137,two oranges sitting on top of a wooden table,0.189,0.399,two oranges sitting on top of a wooden table ,1.873766899,,50.998,two red balls on a table
696.png,64.64,64.64,a pile of apples sitting on top of each other,0.131713043,0.594,a pile of apples ,0.698405445,,52.659,ten red apples
697.png,65.414,65.414,a pile of apples sitting on top of each other,0.131713043,0.594,a pile of apples ,0.263926685,,55.665,ten red apples
698.png,60.175,60.175,a pile of apples sitting on top of each other,0.131713043,0.594,a pile of apples ,0.688964009,,50.561,ten red apples
699.png,67.176,67.176,a pile of apples sitting on top of each other,0.131713043,0.594,a pile of apples ,0.885169923,,55.249,ten red apples
700.png,64.165,64.165,a pile of green and yellow peppers on top of each other,0.261111864,0.7336,a pile of green and yellow peppers ,0.824572921,,65.106,three green peppers
701.png,63.209,63.209,two green and yellow peppers on a white surface,0.278178814,0.8085,two green and yellow peppers ,0.379287422,,66.695,three green peppers
702.png,61.69,61.69,two green and white close up of a green and white pepper,0.569710169,0.5897,two green and white close up of a green and white pepper ,1.118483186,,63.661,three green peppers
703.png,59.305,59.305,a pile of green peppers on top of each other,0.191031864,0.7827,a pile of green peppers ,1.163610578,,66.595,three green peppers
704.png,59.56,59.56,two yellow boxes sitting on top of each other,0.1459875,0.8015,two yellow boxes ,1.695264697,,69.33,three small yellow boxes
705.png,49.846,49.846,a row of yellow boxes stacked on top of each other,0.177587143,0.7534,a row of yellow boxes ,1.138009548,,64.219,three small yellow boxes
706.png,67.035,67.035,a row of yellow boxes stacked on top of each other,0.177587143,0.7534,a row of yellow boxes ,1.747034073,,68.16,three small yellow boxes
707.png,58.623,58.623,a yellow box sitting on top of a wooden table,0.1028625,0.7385,a yellow box ,1.270425677,,62.774,three small yellow boxes
708.png,68.662,68.662,a person standing in front of a piano,0.085771429,0.237,a person standing in front of a piano ,0.526010871,,69.752,two pianos next to each other
