image,align_score,prompt,caption,quality_score,similarity_score,similarity_sentence,ImageReward_score,modifier,TOPIQ_score,Unnamed: 10,TOPIQ_score_bare
501.png,46.424,a pineapple with one beer to its left and two beers on its right,a plant that is on top of a table,51.977,0.277,a plant that ,1.460312486,0.16620000000000001,0.619871855,,0.5348544716835022
502.png,54.518,a pineapple with one beer to its left and two beers on its right,a table topped with a bunch of different types of food,63.458,0.2243,a table topped with a ,1.680549264,0.13458,0.670061052,,0.6346210241317749
503.png,51.895,a pineapple with one beer to its left and two beers on its right,a large green plant sitting next to a glass of beer,59.272,0.3525,a large green plant sitting next to a glass of beer ,1.710200906,0.2115,0.650363207,,0.6455186009407043
504.png,47.555,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a table topped with a bunch of different colored doughnuts,56.134,0.1375,a table topped with a bunch of different colored doughnuts ,0.15313217,0.0825,0.590707421,,0.8061476945877075
505.png,40.862,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of different types of stuffed animals,52.284,0.2,a collage of different types of stuffed animals ,0.546365917,0.12,0.629114568,,0.7677068114280701
506.png,51.831,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of cartoon characters with hats on them,56.353,0.4383,a collage of cartoon characters with hats on them ,0.249363542,0.4383,0.606529355,,0.78914475440979
507.png,52.829,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of different types of stickers on a table,55.817,0.2761,a collage of different types of stickers on a ,0.026682975,0.16566,0.601936698,,0.7482035160064697
508.png,59.093,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and a dog,51.559,0.5852,a living room filled with furniture and a dog ,1.143996,0.35112000000000004,0.667819142,,0.7170206904411316
509.png,51.33,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a dog sitting on a couch next to a vase of flowers,52.308,0.5037,a dog sitting on a couch next to a vase of flowers ,-0.468224734,0.30222,0.618391931,,0.7348065376281738
510.png,65.418,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room with a couch and a table,61.125,0.5857,a living room with a couch and ,-0.426443875,0.5857,0.666918278,,0.7548927664756775
511.png,61.81,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and a dog,64.474,0.5852,a living room filled with furniture and a dog ,0.582359314,0.35112000000000004,0.714776456,,0.7335720658302307
512.png,62.052,Snow mountain and tree reflection in the lake,a large body of water with a mountain range,62.216,0.4222,a large body of water with a mountain ,1.068098187,0.25332,0.66028446,,0.7093570828437805
513.png,60.63,Snow mountain and tree reflection in the lake,a mountain range with mountains in the distance,59.36,0.4744,a mountain ,0.255932897,0.28464,0.625139356,,0.7800670266151428
514.png,57.441,Snow mountain and tree reflection in the lake,a lake filled with snow with a mountain range behind it,53.137,0.7264,a lake filled with snow with a mountain ,0.692709148,0.43584,0.560018182,,0.6309908032417297
515.png,58.016,Snow mountain and tree reflection in the lake,a mountain range with a mountain range behind it,59.454,0.4734,a mountain ,0.677867115,0.28403999999999996,0.589409471,,0.6113645434379578
516.png,55.258,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a painting of a bunch of colorful umbrellas on a table,55.512,0.3301,a painting of a bunch of colorful umbrellas on ,1.581403017,0.19805999999999999,0.634184062,,0.5087912678718567
517.png,63.567,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a painting of a colorful kite in the shape of a dragon,58.101,0.2893,a painting of a colorful ,1.53961277,0.17357999999999998,0.626001954,,0.5788479447364807
518.png,52.703,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",a painting of a painting of a blue and yellow fire hydrant,52.025,0.3092,a painting of a painting of a blue and yellow fire ,1.479373336,0.18552,0.627851844,,0.5997386574745178
519.png,57.992,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",colorful umbrellas hanging from the ceiling,56.678,0.3592,colorful umbrellas hanging from the ceiling ,1.47910583,0.21552000000000002,0.615327477,,0.5438257455825806
520.png,57.312,a dolphin in an astronaut suit on saturn,a man riding a surfboard on top of a surfboard,57.646,0.2848,a man riding a surfboard on top of a ,1.434050202,0.17088,0.64606142,,0.667081356048584
521.png,51.575,a dolphin in an astronaut suit on saturn,a cartoon character with a surfboard on his head,52.44,0.328,a cartoon character with a surfboard ,0.347947299,0.1968,0.633224487,,0.7176126837730408
522.png,49.679,a dolphin in an astronaut suit on saturn,a painting of a cartoon character on a skateboard,55.937,0.2022,a painting of a cartoon character on a skateboard ,-0.970796049,0.12131999999999998,0.596322656,,0.641927182674408
523.png,56.636,a dolphin in an astronaut suit on saturn,a cartoon character riding a surfboard in the air,57.447,0.3455,a cartoon character riding a surfboard in the air ,1.656182766,0.20729999999999998,0.615150809,,0.7017557621002197
524.png,43.916,a library filled with kids reading books,a classroom full of children sitting in front of a bookshelf,45.992,0.501,a classroom full of children sitting in front of a bookshelf ,-0.044775341,0.3006,0.756454051,,0.615367591381073
525.png,52.936,a library filled with kids reading books,a painting of a stuffed animal on a table,53.453,0.1262,a painting of a stuffed animal ,-0.007555031,0.07572,0.586267173,,0.7243881821632385
526.png,51.829,a library filled with kids reading books,a boy reading a book while sitting at a library,52.104,0.5634,a boy reading a book while sitting at a library ,-0.140170306,0.33804,0.59104687,,0.5980499386787415
527.png,54.283,a library filled with kids reading books,stuffed animals sitting on top of a table,51.218,0.282,stuffed animals ,0.731956542,0.1692,0.586956978,,0.7510848641395569
528.png,66.098,a large white yacht in a calm bay on a sunny day,a white boat is docked in the water,64.429,0.6114,a white boat ,0.702257335,0.36684,0.66805023,,0.7698357701301575
529.png,56.755,a large white yacht in a calm bay on a sunny day,a woman standing next to a boat on the water,52.029,0.3609,a woman standing next to a boat on ,-1.566856503,0.21653999999999998,0.594332039,,0.676846444606781
530.png,65.859,a large white yacht in a calm bay on a sunny day,a white boat is docked in the water,69.187,0.6114,a white boat ,0.31301856,0.36684,0.635608315,,0.6645410060882568
531.png,52.767,a large white yacht in a calm bay on a sunny day,a woman standing on top of a dock next to a boat,49.125,0.2424,a woman standing on top of a dock next to a boat ,-1.44478476,0.14543999999999999,0.606586218,,0.6831744313240051
532.png,63.561,purple lego dollhouse with a pool and a swing,a toy model of a toy train on a table,55.804,0.4832,a toy model ,1.701007962,0.28992,0.574166059,,0.4714727401733398
533.png,46.86,purple lego dollhouse with a pool and a swing,a small child's toy house with a blue floor,52.453,0.4623,a small child's toy house with a ,-0.690559745,0.27737999999999996,0.598741293,,0.3768105208873749
534.png,53.089,purple lego dollhouse with a pool and a swing,a toy model of a toy boat in a toy house,55.892,0.4895,a toy model of a toy boat in a toy house ,1.834098339,0.29369999999999996,0.578445554,,0.4697134792804718
535.png,50.917,purple lego dollhouse with a pool and a swing,a toy house with a doll on top of it,54.542,0.5969,a toy house with a doll on top of it ,1.423040032,0.47752,0.601460576,,0.5840925574302673
536.png,44.847,a small garden with an apple tree behind it,a tree filled with lots of green leaves next to a grassy field,54.274,0.4575,a tree ,0.524727225,0.2745,0.618727803,,0.6919195055961609
537.png,60.895,a small garden with an apple tree behind it,a tree in the middle of a grassy field,61.567,0.5263,a tree in the middle of a ,0.191127449,0.31578,0.610255301,,0.6482489705085754
538.png,47.124,a small garden with an apple tree behind it,a tree that has a bunch of fruit in it,55.806,0.5827,a tree that has a bunch of fruit in ,0.856465161,0.34962,0.614768326,,0.6989127993583679
539.png,51.029,a small garden with an apple tree behind it,a tree in the middle of a grassy field,56.308,0.5263,a tree in the middle of a ,0.418489814,0.31578,0.62680763,,0.7163408398628235
540.png,56.785,a bloody mary cocktail next to a napkin,a glass of orange juice sitting next to a cup of coffee,59.735,0.4455,a glass of orange juice sitting next to a ,1.009769201,0.2673,0.679104447,,0.6403555274009705
541.png,60.899,a bloody mary cocktail next to a napkin,a glass of orange juice sitting on a table,65.102,0.4278,a glass of orange juice sitting on a table ,1.32764101,0.25668,0.64126265,,0.6305131316184998
542.png,53.607,a bloody mary cocktail next to a napkin,a glass of red wine sitting on top of a table,56.149,0.4297,a glass of red wine sitting on top of a table ,0.072103016,0.25782,0.672305346,,0.4589475691318512
543.png,55.045,a bloody mary cocktail next to a napkin,a glass of red liquid sitting on top of a table,54.592,0.4636,a glass of red liquid sitting on top of a table ,0.036580022,0.27816,0.632190108,,0.5607316493988037
544.png,47.926,a kids' book cover with an illustration of white dog driving a red pickup truck,a red truck with a dog on top of it,57.058,0.6794,a red truck with a dog ,0.737911701,0.40764,0.561852515,,0.6912025809288025
545.png,60.51,a kids' book cover with an illustration of white dog driving a red pickup truck,a red truck with a picture of a dog on it,55.196,0.7129,a red truck with a picture of a dog ,0.700543106,0.57032,0.576371372,,0.6428692936897278
546.png,58.522,a kids' book cover with an illustration of white dog driving a red pickup truck,a red truck with a picture of a dog on it,59.255,0.7129,a red truck with a picture of a dog ,1.439282298,0.49903,0.57963413,,0.7463765144348145
547.png,52.121,a kids' book cover with an illustration of white dog driving a red pickup truck,a red truck with a picture of a dog on the side of it,57.019,0.7086,a red truck with a picture of a dog ,1.072633624,0.42516,0.563828945,,0.7712527513504028
548.png,56.517,A bare kitchen has wood cabinets and white appliances,a kitchen with a stove top oven and a sink,55.452,0.6791,a kitchen with ,0.39409098,0.40746,0.670988083,,0.7278726696968079
549.png,61.0,A bare kitchen has wood cabinets and white appliances,a white stove top oven sitting in a kitchen,70.661,0.5229,a white stove top oven sitting in a kitchen ,0.488785595,0.31374,0.722310066,,0.7254306077957153
550.png,67.695,A bare kitchen has wood cabinets and white appliances,a kitchen with a stove top oven and a microwave,62.144,0.6791,a kitchen with ,-1.237367988,0.40746,0.710166335,,0.7294245362281799
551.png,66.179,A bare kitchen has wood cabinets and white appliances,a kitchen with a stove top oven and a microwave,68.335,0.6791,a kitchen with ,0.631614208,0.40746,0.736841261,,0.7341330051422119
552.png,57.861,a fall landscape with a small cottage next to a lake,a lake with trees and a house,53.858,0.6092,a lake with trees and a house ,1.321156383,0.48736,0.610391736,,0.6348639726638794
553.png,62.747,a fall landscape with a small cottage next to a lake,a red and white fire hydrant next to a body of water,56.563,0.1559,a red and white fire hydrant next to a body of water ,0.889778376,0.09354,0.635058582,,0.6796560883522034
554.png,64.119,a fall landscape with a small cottage next to a lake,a lake with a couple of trees and a couple of houses,62.982,0.6061,a lake with a couple of trees and a couple of houses ,0.885498166,0.36366,0.650161266,,0.6988211870193481
555.png,67.587,a fall landscape with a small cottage next to a lake,a house with trees and a boat on the water,62.543,0.4224,a house with trees and a boat on the water ,1.499096632,0.25344,0.638689995,,0.7340547442436218
556.png,59.722,a teddy bear on a skateboard in times square,a teddy bear sitting on top of a skateboard,57.739,0.6449,a teddy bear sitting on top of a skateboard ,1.887135386,0.38694,0.626312017,,0.653176486492157
557.png,63.412,a teddy bear on a skateboard in times square,a teddy bear sitting on top of a skateboard,58.113,0.6449,a teddy bear sitting on top of a skateboard ,1.936969042,0.38694,0.59417665,,0.5666165947914124
558.png,60.668,a teddy bear on a skateboard in times square,a teddy bear is sitting on a skateboard,60.571,0.6516,a teddy bear is sitting on a skateboard ,1.651856542,0.6516,0.629033685,,0.6374599933624268
559.png,55.134,a teddy bear on a skateboard in times square,a teddy bear sitting on the side of a street,53.89,0.5879,a teddy bear ,1.903616667,0.35274,0.557471037,,0.4313830435276031
560.png,50.361,A blue colored dog,a black dog with a blue collar sitting in the grass,66.752,0.7748,a black dog with a blue ,-1.988903403,0.46488,0.705292821,,0.665593683719635
561.png,48.213,A blue colored dog,a black and white dog standing in a grassy field,59.616,0.5573,a black and white dog ,-1.881207585,0.33438,0.66487658,,0.6893618702888489
562.png,41.63,A blue colored dog,a box with a picture of a penguin on it,54.017,0.3007,a box with a picture of a penguin on it ,-2.274476767,0.18042,0.601787567,,0.5798478722572327
563.png,41.991,A blue colored dog,a black and brown dog wearing a blue collar,56.694,0.7045,a black and brown dog wearing a blue ,-1.617341757,0.4227,0.654368162,,0.6446158289909363
564.png,68.891,A photo of an astronaut riding a horse in the forest.,a statue of a man riding a horse in a forest,68.174,0.549,a statue of a man riding a horse in a forest ,1.809730649,0.38430000000000003,0.685828567,,0.5729460716247559
565.png,58.058,A photo of an astronaut riding a horse in the forest.,a woman riding on the back of a brown horse,54.975,0.3595,a woman riding on the back of a brown horse ,1.207002521,0.21569999999999998,0.602705896,,0.6231330633163452
566.png,57.179,A photo of an astronaut riding a horse in the forest.,a young boy riding a horse through the woods,58.478,0.4541,a young boy riding a horse through the woods ,1.566874027,0.27246,0.662508845,,0.5400524735450745
567.png,65.249,A photo of an astronaut riding a horse in the forest.,a woman riding on the back of a brown horse,63.383,0.3595,a woman riding on the back of a brown horse ,1.751126051,0.21569999999999998,0.671208262,,0.541477382183075
568.png,60.752,A bicycle on top of a boat,a man riding a bike on top of a wooden dock,60.496,0.5401,a man riding a bike on top of a ,1.18260169,0.32406,0.650091887,,0.6242755055427551
569.png,61.242,A bicycle on top of a boat,a bicycle with a surfboard on top of it,62.759,0.724,a bicycle with a surfboard on top of it ,-0.520943642,0.43439999999999995,0.648967206,,0.6902378797531128
570.png,63.805,A bicycle on top of a boat,a bike parked on top of a boat,64.945,0.7274,a bike parked on top of a boat ,1.711445808,0.50918,0.613046885,,0.7033773064613342
571.png,50.77,A bicycle on top of a boat,a bicycle parked on a dock near the water,54.041,0.6374,a bicycle ,0.882009447,0.38243999999999995,0.662542105,,0.7181287407875061
572.png,50.676,a sword slicing through a loaf of bread,a figurine of a bird on top of a table,55.488,0.3002,a figurine of a ,1.008773208,0.18012,0.598766983,,0.6964970231056213
573.png,58.399,a sword slicing through a loaf of bread,a figurine of a bird with a sword in its mouth,55.006,0.4754,a figurine of a bird with a sword in its ,0.373997837,0.28524,0.603077888,,0.6798480153083801
574.png,52.423,a sword slicing through a loaf of bread,a painting of a cartoon character with a knife,58.01,0.1817,a painting of a cartoon character with a knife ,1.780427456,0.10901999999999999,0.583794117,,0.7132657170295715
575.png,64.174,a sword slicing through a loaf of bread,a white and black fire hydrant on a pole,54.42,0.1608,a white and black ,-0.790549815,0.09648,0.52814281,,0.6483765244483948
576.png,66.075,an orange wearing a cowboy hat,an orange with a hat on top of it,65.47,0.8128,an orange with a hat ,1.570655107,0.8128,0.704397798,,0.663482129573822
577.png,57.462,an orange wearing a cowboy hat,a hat with a cartoon character on it,63.626,0.5927,a hat with a ,1.46416676,0.35562,0.689207554,,0.7475734353065491
578.png,63.665,an orange wearing a cowboy hat,a bear with a hat on,65.611,0.4779,a bear with a hat on ,1.896896243,0.28674,0.718940377,,0.6348720192909241
579.png,64.042,an orange wearing a cowboy hat,an orange with a face painted on it,63.591,0.6187,an orange with a face ,1.839165807,0.43309,0.660262108,,0.6813313961029053
580.png,48.058,A bowl of soup that looks like a monster with tofu says deep learning,a picture of a dog with a cartoon character on it,48.116,0.2602,a picture of a dog with a cartoon ,-1.802146912,0.15611999999999998,0.542566419,,0.7045055031776428
581.png,45.847,A bowl of soup that looks like a monster with tofu says deep learning,a toy fire hydrant with a cartoon character on it,50.772,0.2724,a toy fire hydrant with a cartoon ,-0.915897131,0.16343999999999997,0.549710393,,0.7360504269599915
582.png,48.525,A bowl of soup that looks like a monster with tofu says deep learning,a cupcake with a picture of a dog on it,59.038,0.2686,a cupcake with a picture of a dog ,-0.594671905,0.16116,0.613317251,,0.6832899451255798
583.png,45.572,A bowl of soup that looks like a monster with tofu says deep learning,a birthday cake with a cartoon character on it,51.808,0.2896,a birthday cake with a cartoon ,0.051454831,0.17376,0.554040313,,0.729032576084137
584.png,54.416,a drawing of a series of musical notes wrapped around the Earth,a painting of a person holding a knife,49.844,0.3595,a painting of ,1.549148202,0.21569999999999998,0.537150323,,0.5012648105621338
585.png,53.461,a drawing of a series of musical notes wrapped around the Earth,a painting of a person holding a toothbrush in their mouth,51.027,0.3595,a painting of ,1.716996789,0.21569999999999998,0.560959816,,0.5748338103294373
586.png,54.651,a drawing of a series of musical notes wrapped around the Earth,a painting of a person holding a flower,52.354,0.3595,a painting of ,1.565744877,0.21569999999999998,0.573868036,,0.6078876852989197
587.png,53.133,a drawing of a series of musical notes wrapped around the Earth,a plate of food on a table,51.001,0.2247,a plate of ,-0.392412633,0.13482,0.514222264,,0.5715499520301819
588.png,53.547,a small kitchen with a white goat in it,a white goat standing on top of a white stove,50.481,0.6956,a white goat standing on top of a white stove ,1.628086209,0.55648,0.662181139,,0.6991590857505798
589.png,53.436,a small kitchen with a white goat in it,a white dog sitting on a kitchen counter next to a sink,59.222,0.5973,a white dog sitting on a kitchen ,-0.526905417,0.35838000000000003,0.669284523,,0.6259639859199524
590.png,57.014,a small kitchen with a white goat in it,a cat standing on top of a stove next to a microwave,57.046,0.3089,a cat standing on top of a stove next to a microwave ,1.447660565,0.18534,0.626879871,,0.6535932421684265
591.png,52.661,a small kitchen with a white goat in it,a cat standing on top of a stove top oven,53.478,0.2823,a cat standing on top of a stove top oven ,1.699757338,0.16938,0.632636666,,0.6144915223121643
592.png,44.084,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a large white dog sitting in a pool of water,51.219,0.2857,a large white dog sitting in a pool of water ,-0.627541661,0.17142,0.571085095,,0.6244359016418457
593.png,51.745,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a black and white cat sitting on top of a wooden chair,55.95,0.3918,a black and white cat ,-0.561767161,0.23507999999999998,0.591047466,,0.715394139289856
594.png,48.504,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,two cats standing next to each other on a bench,56.099,0.4308,two cats standing next to each ,-0.521063924,0.25848,0.617195368,,0.5980071425437927
595.png,46.463,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a cat standing on top of a pool of water,57.887,0.4686,a cat standing on top of a pool of water ,-0.525564313,0.28116,0.619250774,,0.5902388691902161
596.png,61.7,an elephant walking on the Great Wall,an elephant standing on top of a dirt road,62.902,0.6528,an elephant ,0.04745454,0.39168000000000003,0.668513238,,0.7217759490013123
597.png,46.535,an elephant walking on the Great Wall,a large elephant standing on top of a brick wall,57.289,0.6813,a large elephant standing on top of a brick wall ,0.878908515,0.40878,0.579051137,,0.7453709244728088
598.png,60.064,an elephant walking on the Great Wall,an elephant standing on top of a stone wall,61.575,0.6806,an elephant standing on top of a stone wall ,1.097402334,0.40836,0.63680917,,0.7246065139770508
599.png,59.492,an elephant walking on the Great Wall,an elephant standing in front of a stone wall,58.639,0.6874,an elephant standing in front of a stone wall ,0.986615598,0.41244,0.619810462,,0.6979549527168274
600.png,54.862,A photo of a panda made of water.,a black and white photo of a pool of water,46.269,0.4536,a black and white photo of a pool of water ,0.634031117,0.27216,0.598381639,,0.4890524446964264
601.png,59.053,A photo of a panda made of water.,a black and white drawing of a penguin statue,52.863,0.2625,a black and white drawing of a penguin ,-0.624962628,0.1575,0.591800511,,0.5829831957817078
602.png,56.05,A photo of a panda made of water.,a black and white photo of a pool of water,48.009,0.4536,a black and white photo of a pool of water ,0.266184598,0.27216,0.568270087,,0.4067325294017792
603.png,47.138,A photo of a panda made of water.,a polar bear swimming in a pool of water,46.291,0.3324,a polar bear swimming in a pool of water ,-0.238688499,0.19943999999999998,0.597964287,,0.5047439336776733
604.png,63.022,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style",a man wearing a suit and tie,63.328,0.4452,a man wearing a suit and ,0.348262817,0.26711999999999997,0.621610284,,0.5020896792411804
605.png,63.22,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style",a man in a suit and tie posing for a picture,61.146,0.4354,a man in a suit and ,1.216406226,0.26123999999999997,0.610110044,,0.5574849247932434
606.png,57.217,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style",a man wearing a suit and tie,53.03,0.4452,a man wearing a suit and ,0.538355529,0.26711999999999997,0.568298817,,0.5903576016426086
607.png,54.424,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style",a man wearing a suit and tie,53.349,0.4452,a man wearing a suit and ,0.131213859,0.26711999999999997,0.584175229,,0.5271284580230713
608.png,56.733,a cartoon of a train going to the moon,a blurry photo of a cartoon character on a cell phone,52.86,0.2996,a blurry photo of a cartoon ,1.633915782,0.17975999999999998,0.594557345,,0.5948637127876282
609.png,54.312,a cartoon of a train going to the moon,a painting of a cartoon character on top of a toy train,56.367,0.4457,a painting of a cartoon character on top of a toy train ,1.719894886,0.26742,0.597125053,,0.6730795502662659
610.png,52.084,a cartoon of a train going to the moon,a large balloon shaped like a train on top of a table,54.899,0.552,a large balloon shaped like a train on ,1.696571231,0.3312,0.639152169,,0.5999018549919128
611.png,54.242,a cartoon of a train going to the moon,a toy train on top of a train track,56.556,0.5513,a toy train ,1.746979237,0.33078,0.559346974,,0.599519670009613
612.png,46.03,A spaceship made of cardboard.,a toy elephant sitting on top of a wooden table,53.443,0.3516,a toy ,-0.946931541,0.21096,0.595238328,,0.6640169024467468
613.png,56.955,A spaceship made of cardboard.,a white and black surfboard sitting on top of a table,63.285,0.2797,a white and black surfboard sitting on top of ,0.309304386,0.16782,0.643514693,,0.6257935166358948
614.png,67.321,A spaceship made of cardboard.,a piece of art that is on top of a table,66.147,0.3236,a piece ,0.4286066,0.19416,0.634546518,,0.6419110894203186
615.png,55.23,A spaceship made of cardboard.,a white and black model of a white and black model of a white and,55.71,0.2022,a white and black ,0.085036561,0.12131999999999998,0.622699082,,0.5771406292915344
616.png,54.478,A photo of a lotus flower made of water. ,a pink rose in a flower pot on a table,64.041,0.4571,a pink rose in a flower pot on a ,1.414233685,0.27426,0.696439683,,0.6045151352882385
617.png,47.298,A photo of a lotus flower made of water. ,a flower in a vase sitting on top of a table,60.824,0.6044,a flower ,1.169773579,0.36264,0.661479354,,0.4895733296871185
618.png,51.203,A photo of a lotus flower made of water. ,a pink rose in the middle of a flower pot,58.198,0.4085,a pink rose in the middle of a flower pot ,1.121635914,0.24509999999999998,0.655471325,,0.6567443013191223
619.png,52.602,A photo of a lotus flower made of water. ,a flower in a vase on a table,63.364,0.6044,a flower ,-0.088523477,0.36264,0.707627296,,0.6824161410331726
620.png,55.862,a painting of the food of china,a plate of food on a table,52.472,0.4987,a plate of food ,0.099908777,0.29922,0.575342774,,0.5819265246391296
621.png,49.702,a painting of the food of china,plates of food on a table,46.954,0.4522,plates of food on a ,-0.463671148,0.27132,0.562013626,,0.5447141528129578
622.png,54.717,a painting of the food of china,a plate of food on a wooden table,58.704,0.5039,a plate of food on a wooden ,0.086169921,0.30234,0.643900156,,0.5911920666694641
623.png,56.173,a painting of the food of china,a wooden table topped with bowls of food,54.946,0.3583,a wooden table topped with bowls of food ,0.116240561,0.21498,0.591906905,,0.6082128286361694
624.png,41.984,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants",a cartoon character with a stuffed animal on top of it,52.597,0.4273,a cartoon character with a stuffed animal on ,-0.977416515,0.25638,0.576501727,,0.7316703200340271
625.png,62.232,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants",a teddy bear sitting on top of a green background,58.357,0.3106,a teddy bear ,0.042647202,0.18636,0.600821137,,0.713529646396637
626.png,56.043,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants",a figurine of a bear with a cartoon character on it,58.146,0.4072,a figurine of a bear with a cartoon character on ,-0.521987438,0.24431999999999998,0.608456731,,0.7688333988189697
627.png,50.091,"an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants",a teddy bear with a cartoon character on it,57.948,0.4382,a teddy bear with a cartoon ,-1.466076374,0.26292,0.629395962,,0.7607002854347229
628.png,52.864,an oil painting of a tree and a building,a painting of a tree in front of a building,52.579,0.8251,a painting of a tree in front of a building ,1.126953363,0.8251,0.543412268,,0.5283806920051575
629.png,56.777,an oil painting of a tree and a building,a tree in front of a building with a clock on it,52.04,0.6016,a tree in front of a building with a ,1.213151455,0.36096,0.582129478,,0.6581315398216248
630.png,58.54,an oil painting of a tree and a building,a tree in front of a large building,53.37,0.5584,a tree in front of a large building ,1.155089259,0.33504,0.540091395,,0.3638573288917541
631.png,52.413,an oil painting of a tree and a building,a tree with a picture of a giraffe on it,49.812,0.6181,a tree with a picture of ,1.048101425,0.37085999999999997,0.542781353,,0.4878703653812408
632.png,55.826,a painting of a white country home with a wrap-around porch,a white house with a black and white picture on the front of it,49.149,0.4957,a white house with a black and white picture ,0.859090745,0.29741999999999996,0.5062204,,0.5176253914833069
633.png,52.833,a painting of a white country home with a wrap-around porch,a white house sitting in front of a house,47.825,0.4226,a white house sitting in front of a house ,0.646068215,0.25355999999999995,0.495258242,,0.458765834569931
634.png,59.858,a painting of a white country home with a wrap-around porch,a white house sitting in front of a tree,60.109,0.4127,a white house sitting in front of a tree ,1.101313829,0.24762,0.625321627,,0.7063368558883667
635.png,61.836,a painting of a white country home with a wrap-around porch,a white house with a blue roof and a white house,59.116,0.4611,a white house with a blue roof and a white ,1.345493317,0.27666,0.594002128,,0.6702482104301453
636.png,53.103,Downtown Shanghai at sunrise. detailed ink wash.,a large building with a clock on top of it,51.148,0.2854,a large building with a clock on top ,-1.052725673,0.17123999999999998,0.521721661,,0.4297099411487579
637.png,53.558,Downtown Shanghai at sunrise. detailed ink wash.,people standing in front of a tall building,47.623,0.1142,people standing in front of a tall building ,0.22406888,0.06852,0.487684131,,0.300233244895935
638.png,55.581,Downtown Shanghai at sunrise. detailed ink wash.,a large body of water with buildings,50.347,0.179,a large body of water with buildings ,-0.602362633,0.1074,0.543378353,,0.4075640738010406
639.png,53.957,Downtown Shanghai at sunrise. detailed ink wash.,a city skyline with a clock tower,55.213,0.368,a city skyline with a clock ,-0.576741457,0.2944,0.515288234,,0.2826327979564667
640.png,47.957,"a cartoon of a dog saying ""I see what you did there""",a drawing of a cat on a sign,51.796,0.3917,a drawing of a cat ,-0.199776769,0.23501999999999998,0.576319933,,0.6636069416999817
641.png,38.601,"a cartoon of a dog saying ""I see what you did there""",a painting of a cow on a wall,48.78,0.273,a painting of a cow on ,-0.742117226,0.1638,0.577497125,,0.6935484409332275
642.png,56.197,"a cartoon of a dog saying ""I see what you did there""",a sign with a picture of a bear on it,60.236,0.3797,a sign with a picture of a bear on it ,-0.620923638,0.22781999999999997,0.576022267,,0.6855902075767517
643.png,47.609,"a cartoon of a dog saying ""I see what you did there""",a teddy bear sitting on top of a sign,55.191,0.2926,a teddy bear ,-0.679899096,0.17556000000000002,0.579453826,,0.6954742074012756
644.png,48.987,the word 'HELLO' on a girl's face,a drawing of a cat with a cartoon face on it,55.393,0.2195,a drawing of a cat with a cartoon face on ,-0.918541253,0.13169999999999998,0.559080422,,0.6129953265190125
645.png,54.965,the word 'HELLO' on a girl's face,a woman with a smile on her face,65.992,0.4514,a woman with a smile on her face ,0.143634349,0.31598,0.682513773,,0.604176938533783
646.png,53.157,the word 'HELLO' on a girl's face,a close up picture of a woman's face,52.624,0.3456,a close up picture of a woman's face ,-0.224797979,0.20736000000000002,0.548538685,,0.5363935828208923
647.png,56.848,the word 'HELLO' on a girl's face,a woman with a smile on her face,66.118,0.4514,a woman with a smile on her face ,1.433791399,0.27084,0.694933653,,0.6165433526039124
